date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:34	456/456	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22328-5998441c1a5f4%22	https://demo.coderseden.com/robots.txt		(from )
13:56:34	77082/77082	---MCZ	200	added ('OK')	text/html	etag:W/%225e3b3b7b-12d1a%22	https://demo.coderseden.com/repono-html/	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/index.html	(from )
13:56:34	2436/2436	---M--	200	added ('OK')	image/png	etag:%225e04b249-984%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-57x57.png	(from https://demo.coderseden.com/repono-html/)
13:56:35	4853/4853	---M--	200	added ('OK')	image/png	etag:%225e04b249-12f5%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-114x114.png	(from https://demo.coderseden.com/repono-html/)
13:56:35	3032/3032	---M--	200	added ('OK')	image/png	etag:%225e04b249-bd8%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-72x72.png	(from https://demo.coderseden.com/repono-html/)
13:56:35	6054/6054	---M--	200	added ('OK')	image/png	etag:%225e04b249-17a6%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-144x144.png	(from https://demo.coderseden.com/repono-html/)
13:56:35	2499/2499	---M--	200	added ('OK')	image/png	etag:%225e04b249-9c3%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-60x60.png	(from https://demo.coderseden.com/repono-html/)
13:56:36	4855/4855	---M--	200	added ('OK')	image/png	etag:%225e04b249-12f7%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-120x120.png	(from https://demo.coderseden.com/repono-html/)
13:56:36	3250/3250	---M--	200	added ('OK')	image/png	etag:%225e04b249-cb2%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-76x76.png	(from https://demo.coderseden.com/repono-html/)
13:56:36	6330/6330	---M--	200	added ('OK')	image/png	etag:%225e04b249-18ba%22	https://demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/apple-touch-icon-152x152.png	(from https://demo.coderseden.com/repono-html/)
13:56:36	8385/8385	---M--	200	added ('OK')	image/png	etag:%225e04b249-20c1%22	https://demo.coderseden.com/repono-html/images/favicon/favicon-196x196.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/favicon-196x196.png	(from https://demo.coderseden.com/repono-html/)
13:56:36	4056/4056	---M--	200	added ('OK')	image/png	etag:%225e04b249-fd8%22	https://demo.coderseden.com/repono-html/images/favicon/favicon-96x96.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/favicon-96x96.png	(from https://demo.coderseden.com/repono-html/)
13:56:37	1300/1300	---M--	200	added ('OK')	image/png	etag:%225e04b249-514%22	https://demo.coderseden.com/repono-html/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/favicon-32x32.png	(from https://demo.coderseden.com/repono-html/)
13:56:37	554/554	---M--	200	added ('OK')	image/png	etag:%2222a-59a9b296a6440%22	https://demo.coderseden.com/repono-html/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/favicon-16x16.png	(from https://demo.coderseden.com/repono-html/)
13:56:37	5296/5296	---M--	200	added ('OK')	image/png	etag:%225e04b249-14b0%22	https://demo.coderseden.com/repono-html/images/favicon/favicon-128.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/favicon-128.png	(from https://demo.coderseden.com/repono-html/)
13:56:37	6024/6024	---M--	200	added ('OK')	image/png	etag:%225e04b249-1788%22	https://demo.coderseden.com/repono-html/images/favicon/mstile-144x144.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/mstile-144x144.png	(from https://demo.coderseden.com/repono-html/)
13:56:38	2918/2918	---M--	200	added ('OK')	image/png	etag:%225e04b249-b66%22	https://demo.coderseden.com/repono-html/images/favicon/mstile-70x70.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/mstile-70x70.png	(from https://demo.coderseden.com/repono-html/)
13:56:38	6400/6400	---M--	200	added ('OK')	image/png	etag:%225e04b249-1900%22	https://demo.coderseden.com/repono-html/images/favicon/mstile-150x150.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/mstile-150x150.png	(from https://demo.coderseden.com/repono-html/)
13:56:38	7175/7175	---M--	200	added ('OK')	image/png	etag:%225e04b249-1c07%22	https://demo.coderseden.com/repono-html/images/favicon/mstile-310x150.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/mstile-310x150.png	(from https://demo.coderseden.com/repono-html/)
13:56:38	14437/14437	---M--	200	added ('OK')	image/png	etag:%225e04b249-3865%22	https://demo.coderseden.com/repono-html/images/favicon/mstile-310x310.png	C:/My%20Web%20Sites/Repono/demo.coderseden.com/repono-html/images/favicon/mstile-310x310.png	(from https://demo.coderseden.com/repono-html/)
